"Team_Name_name","Team_Name_AdjO","Team_Name_AdjD","Team_Name_AdjT"
"Duke","120.6","90.0","74.5"
"Kansas","117.0","90.5","71.9"
"Virginia","115.9","89.6","61.8"
"Michigan","114.2","88.0","65.6"
"Nevada","120.3","94.6","69.6"
"Gonzaga","122.1","96.7","72.2"
"North Carolina","119.2","94.6","76.2"
"Michigan St.","118.1","93.8","71.2"
"Auburn","116.2","92.5","69.7"
"Tennessee","115.3","92.1","69.6"
"Virginia Tech","117.0","94.8","68.1"
"Texas Tech","110.1","88.4","68.0"
"Wisconsin","113.6","92.2","65.1"
"Purdue","116.2","96.1","67.8"
"Florida St.","112.3","92.3","72.3"
"Syracuse","111.2","91.9","66.8"
"Iowa St.","114.1","94.9","70.6"
"Kentucky","115.4","96.2","70.2"
"Ohio St.","111.7","92.8","67.5"
"Villanova","116.0","97.2","64.5"
"Nebraska","114.1","95.3","67.0"
"Florida","109.0","90.7","65.3"
"Mississippi St.","112.5","94.1","68.5"
"Kansas St.","106.7","88.7","69.2"
"Indiana","111.2","93.6","71.0"
"Butler","113.4","95.9","66.8"
"North Carolina St.","115.3","98.0","74.3"
"Maryland","111.9","94.7","69.4"
"Cincinnati","109.4","92.5","64.3"
"TCU","111.0","94.3","71.1"
"Oregon","111.8","95.1","68.2"
"Oklahoma","109.7","93.2","73.3"
"West Virginia","110.4","94.1","73.1"
"Buffalo","113.0","96.7","73.6"
"Marquette","111.8","95.8","70.1"
"Houston","110.0","94.1","65.5"
"Texas","107.3","92.1","69.5"
"Iowa","114.9","99.8","72.2"
"Creighton","116.3","101.4","72.2"
"Louisville","111.1","96.4","69.4"
"Clemson","110.8","96.3","68.3"
"Penn St.","106.2","91.8","67.7"
"Arizona St.","110.1","96.0","72.8"
"UCF","108.1","94.5","65.9"
"Miami FL","110.6","97.0","70.4"
"UCLA","110.4","96.9","73.3"
"Northwestern","107.9","94.5","68.5"
"Arizona","109.1","95.9","70.7"
"LSU","113.2","100.3","71.2"
"Arkansas","109.3","96.4","75.0"
"San Francisco","106.7","94.1","70.6"
"Washington","108.8","96.3","68.9"
"Saint Mary's","114.2","102.0","65.6"
"St. John's","111.8","99.7","73.9"
"Utah St.","108.8","97.2","73.0"
"Notre Dame","109.3","97.9","67.7"
"Seton Hall","108.8","97.5","70.4"
"Minnesota","109.1","97.8","70.4"
"Murray St.","106.9","95.7","69.6"
"Mississippi","111.4","100.3","71.5"
"Xavier","112.1","101.2","67.0"
"Colorado","108.0","97.4","73.6"
"BYU","109.9","99.4","74.1"
"Vanderbilt","109.2","99.0","71.1"
